id_offre;date_publication;mois_publication;intitule_poste;secteur_activite;region;ville;type_contrat;niveau_experience;salaire_min_eur;salaire_max_eur;salaire_moyen_eur;teletravail;competence_1;competence_2;competence_3;competence_4;competence_5;delai_pourvoi_jours
OFR-2025000;2025-08-17;2025-08;ML Engineer;Conseil / ESN;Île-de-France;Saint-Denis;CDI;Confirmé (3-5 ans);55500;76500;66000;Hybride;Git/CI-CD;TensorFlow/PyTorch;Python;Docker;MLOps;25
OFR-2025001;2025-09-18;2025-09;Data Scientist;Secteur public;Nouvelle-Aquitaine;Bordeaux;CDI;Confirmé (3-5 ans);46000;63500;54750;Hybride;Power BI;Python;Machine Learning;Scikit-learn;;25
OFR-2025002;2026-01-10;2026-01;Chef de Projet Data/IA;Santé;Auvergne-Rhône-Alpes;Lyon;CDI;Senior (5+ ans);62500;93500;78000;Full remote;SQL;Gestion de projet;Agile/Scrum;KPI;Python;17
OFR-2025003;2025-08-21;2025-08;Data Engineer;Retail / E-commerce;Grand Est;Nancy;Alternance;Confirmé (3-5 ans);850;1119;984;Full remote;Docker;Spark;SQL;;;36
OFR-2025004;2025-11-03;2025-11;Data Scientist;Tech / Scale-up;Nouvelle-Aquitaine;Poitiers;CDI;Junior (0-2 ans);34500;46000;40250;Hybride;Deep Learning;Power BI;Python;Machine Learning;;22
OFR-2025005;2025-08-03;2025-08;Data Engineer;Retail / E-commerce;Île-de-France;Boulogne-Billancourt;CDD;Senior (5+ ans);71000;106000;88500;Hybride;Docker;SQL;Spark;;;25
OFR-2025006;2026-04-25;2026-04;BI Analyst / Développeur Power BI;Conseil / ESN;Occitanie;Montpellier;Alternance;Confirmé (3-5 ans);1270;1406;1338;Sur site;DAX;Excel;Power Query;SQL;;37
OFR-2025007;2026-02-02;2026-02;Data Scientist;Secteur public;Centre-Val de Loire;Tours;CDI;Confirmé (3-5 ans);43500;60500;52000;Sur site;Machine Learning;Deep Learning;Power BI;;;50
OFR-2025008;2026-04-01;2026-04;Data Analyst;Secteur public;Auvergne-Rhône-Alpes;Grenoble;CDI;Confirmé (3-5 ans);49000;67500;58250;Sur site;DAX;Power Query;SQL;;;60
OFR-2025009;2026-05-17;2026-05;Data Scientist;Énergie;Nouvelle-Aquitaine;Bordeaux;CDI;Confirmé (3-5 ans);46000;63500;54750;Full remote;Deep Learning;SQL;Pandas;Machine Learning;Power BI;31
OFR-2025010;2026-01-02;2026-01;BI Analyst / Développeur Power BI;Tech / Scale-up;Pays de la Loire;Nantes;CDI;Junior (0-2 ans);34000;45500;39750;Hybride;Power BI;KPI;Power Query;DAX;Excel;65
OFR-2025011;2026-05-07;2026-05;BI Analyst / Développeur Power BI;Télécoms;Île-de-France;Boulogne-Billancourt;Stage;Junior (0-2 ans);1300;1417;1358;Hybride;DAX;Excel;SQL;Power Query;Power BI;39
